Ranking,Instituição,Pública ou Privada,Estado,Inicio incrição,Fim inscrição,Início isenção ,Fim isenção,Primiera fase,Primeira fase (segundo dia),Segunda fase,Segunda fase (segundo dia),Resultado,link site,metadados,Posição em Ensino,Nota em Ensino,Posição em Pesquisa,Nota em Pesquisa,Posição em Mercado,Nota em Mercado,Posição em Inovação,Nota em Inovação,Posição em Internacionalização,Nota em Internacionalização,Nota,Extrator
1,USP,Estadual,SP,2021-08-16,2021-10-01,2021-06-14,2021-08-07,2021-12-12,,2022-01-16,,2022-02-11,https://www.fuvest.br/wp-content/uploads/fuvest2022_manual_20210804.pdf,,,,,,,,,,,,,
2,UNICAMP,Estadual,SP,2021-09-02,2021-09-08,2021-07-30,2021-08-02,2021-11-07,,2022-01-09,,2022-03-10,https://www.comvest.unicamp.br/publicado-o-edital-da-modalidade-enem-unicamp-inscricoes-serao-realizadas-de-3-a-30-de-novembro/,,,,,,,,,,,,,
3,UFRJ,Federal,RJ,,,,,,,,,,,,,,,,,,,,,,,
4,UFMG,Federal,MG,,,,,,,,,,,,,,,,,,,,,,,
5,UFRGS,Federal,RS,,,,,,,,,,,,,,,,,,,,,,,
6,UNESP,Estadual,SP,2021-09-08,2021-10-07,2021-08-31,2021-09-07,2021-11-14,,2021-12-19,,2022-01-27,https://drive.google.com/file/d/1W3Ntu8ZTOTidQbIgxIDn5os94yvRwbgf/view,,,,,,,,,,,,,
7,UFSC,Federal,SC,2021-10-18,2021-11-19,2021-10-18,2021-10-29,2022-01-29,,,,,https://vestibular2022.ufsc.br/agenda2/,,,,,,,,,,,,,
8,UFPR,Federal,PR,2021-08-17,2021-09-15,2021-08-18,2021-09-22,2021-11-16,,2021-12-07,,,"https://www.ufpr.br/portalufpr/noticias/vestibular-ja-tem-7-mil-inscricoes-prazo-para-isencao-acaba-sexta-feira/#:~:text=Os%20candidatos%20que%20comprovarem%20n%C3%A3o,nc.ufpr.br%5D.",,,,,,,,,,,,,
9,UNB,Federal,DF,,,,,,,,,,,,,,,,,,,,,,,
10,UFPE,Federal,PE,,,,,,,,,,,,,,,,,,,,,,,
11,UFC,Federal,CE,,,,,,,,,,,,,,,,,,,,,,,
12,UFSCAR,Federal,SP,,,,,,,,,,,,,,,,,,,,,,,
13,UERJ,Estadual,RJ,2021-11-09,2021-11-18,2021-09-28,2021-09-30,,,,,,https://www.vestibular.uerj.br/anexos/anexo_1_vr.pdf,,,,,,,,,,,,,
14,UFBA,Federal,BA,,,,,,,,,,,,,,,,,,,,,,,
15,UFV,Federal,MG,2021-11-03,2021-11-30,2021-11-03,2021-11-19,2021-12-11,,,,2021-12-20,https://www.pse.caf.ufv.br/wp-content/uploads/CALEND%C3%81RIO-GERAL-2022.pdf,,,,,,,,,,,,,
16,UNIFESP,Federal,SP,2021-11-03,2021-12-13,2021-08-23,2021-09-03,2022-01-20,2022-01-21,,,2022-02-01,https://ingresso.unifesp.br/informacoes-fixas/informacoes-fixas-misto/cronograma-sistema-misto,,,,,,,,,,,,,ExtratorUnifesp
17,UFF,Federal,RJ,,,,,,,,,,,,,,,,,,,,,,,
18,PUCRS,Privada,RS,2021-10-22,2021-11-24,,,2021-12-05,,,,,https://www.pucrs.br/estudenapucrs/wp-content/uploads/sites/236/2021/11/2021_11_08-prograd-estude_na_pucrs-manual_do_candidato-demais_cursos-vestibular_de_verao_2022.pdf,,,,,,,,,,,,,
19,PUC RIO,Privada,RJ,2021-08-16,2021-09-26,,,2021-10-24,,,,2021-11-16,https://www.puc-rio.br/vestibular/202112/pdf/MANUAL%20DO%20CANDIDATO%20VESTIBULAR%202022.pdf,,,,,,,,,,,,,
20,UFG,Federal,GO,,,,,,,,,,,,,,,,,,,,,,,
21,UFSM ,Federal,RS,2021-09-15,2021-10-21,2021-09-15,2021-09-22,2021-12-05,,,,,https://www.pse.caf.ufv.br/wp-content/uploads/CALEND%C3%81RIO-GERAL-2022.pdf,,,,,,,,,,,,,
22,UFRN,Federal,RN,,,,,,,,,,,,,,,,,,,,,,,
23,UEL,Estadual,PA,2021-10-04,2021-10-15,2021-08-16,2021-08-20,2021-11-15,,2021-12-05,,2022-04-19,http://www.uece.br/cev/index.php/vestibular-20221,,,,,,,,,,,,,
24,UEM,Estadual,PA,2021-09-01,2021-11-08,2021-08-05,2021-09-30,2022-02-20,,,,2022-04-20,https://www.npd.uem.br/cvu/relatorios/27/Ed21_026r2x.pdf,,,,,,,,,,,,,
25,UFU,Federal,MG,2021-11-06,2021-07-08,2021-06-11,2021-06-25,2021-08-21,,,,2021-11-19,https://www.portalselecao.ufu.br/servicos/arquivo_administrativo/download/7b72de504960bfce0e38c14bdfeda3f1,,,,,,,,,,,,,
26,UFJF,Federal,MG,2021-09-27,2021-10-18,2021-09-27,2021-10-03,2022-02-05,,,,2022-03-31,https://www2.ufjf.br/copese/wp-content/uploads/sites/42/2021/09/Edital-09-2021_PISM-2022.pdf,,,,,,,,,,,,,
27,UFES,Federal,ES,,,,,,,,,,,,,,,,,,,,,,,
28,UFLA,Federal,MG,,,,,,,,,,,,,,,,,,,,,,,
29,UFPA,Federal,PA,2021-11-08,2021-11-16,2021-11-08,2021-11-16,2021-12-05,,,,2021-12-29,https://www.ceps.ufpa.br/images/conteudo/pse/pseUfpa2022-2/editais%20avisos/Edital_PSE-2022-2_FORMA_PA-abertura.pdf,,,,,,,,,,,,,
30,PUCPR,Privada,PR,2021-09-01,2021-10-08,,,2021-10-17,,,,,,,,,,,,,,,,,,
31,UFPB,Federal,PB,2021-09-14,2021-10-15,2021-09-14,2021-09-15,2021-10-31,,,,2021-12-10,https://cdn.coreme.selecao.site/edital/1/3/0e70e7e6ea80cbbf3cb47ea54964a089.pdf,,,,,,,,,,,,,
32,UFPel,Federal,RS,,,,,,,,,,,,,,,,,,,,,,,
33,UFMT,Federal,MT,,,,,,,,,,,,,,,,,,,,,,,
34,Mackenzie,Privada,SP,,,,,,,,,,,,,,,,,,,,,,,
35,Universidade Federal Rural do Rio de Janeiro,Federal,RJ,,,,,,,,,,,,,,,,,,,,,,,
36,Universidade do Vale do Rio dos Sinos,Privada,RS,,,,,,,,,,,,,,,,,,,,,,,
37,Universidade Federal de Sergipe,Federal,SE,,,,,,,,,,,,,,,,,,,,,,,
38,Fundação Universidade Federal do Abc,Federal,SP,,,,,,,,,,,,,,,,,,,,,,,
39,Universidade Federal de Ouro Preto,Federal,MG,,,,,,,,,,,,,,,,,,,,,,,
40,Fundação Universidade do Estado de Santa Catarina,Estadual,SC,,,,,,,,,,,,,,,,,,,,,,,
41,Universidade Federal de Mato Grosso do Sul,Federal,MS,2021-09-03,2021-11-08,,,2021-12-05,,,,,https://ingresso.ufms.br/formas-de-ingresso/vestibular/,,,,,,,,,,,,,
42,Universidade de Caxias do Sul,Privada,RS,,,,,,,,,,,,,,,,,,,,,,,
43,Universidade Estadual do Norte Fluminense Darcy Ribeiro,Estadual,RJ,,,,,,,,,,,,,,,,,,,,,,,
44,Universidade Federal de Campina Grande,Federal,PB,,,,,,,,,,,,,,,,,,,,,,,
45,Universidade Federal de Alagoas,Federal,AL,,,,,,,,,,,,,,,,,,,,,,,
46,Universidade Federal do Triângulo Mineiro,Federal,MG,,,,,,,,,,,,,,,,,,,,,,,
47,Universidade Tecnológica Federal do Paraná,Federal,PR,,,,,,,,,,,,,,,,,,,,,,,
48,Universidade Estadual de Ponta Grossa,Estadual,PR,2021-11-01,2021-11-29,,,2022-03-20,,,,2021-10-25,https://cps.uepg.br/inicio/,,,,,,,,,,,,,ExtratorUepg
49,Pontifícia Universidade Católica de Minas Gerais,Privada,MG,2021-09-13,2021-10-27,,,2021-11-07,,,,2021-11-26,https://www.pucminas.br/vestibular/Paginas/ProcessoSeletivo.aspx,,,,,,,,,,,,,
50,Universidade Federal de São João Del Rei,Federal,MG,,,,,,,,,,,,,,,,,,,,,,,
51,Universidade Federal do Maranhão,Federal,MA,,,,,,,,,,,,,,,,,,,,,,,
52,Universidade Federal do Piauí,Federal,PI,,,,,,,,,,,,,,,,,,,,,,,
53,Universidade Federal de Itajubá,Federal,MG,,,,,,,,,,https://unifei.edu.br/processos-seletivos/vestibular/vestibular-2021/,,,,,,,,,,,,,
54,Universidade Federal do Rio Grande,Federal,RS,,,,,,,,,,,,,,,,,,,,,,,
55,Universidade Estadual do Ceará,Estadual,CE,2021-10-04,2021-10-15,,,2021-11-15,,2021-12-05,2021-12-06,,http://www.uece.br/noticias/uece-abre-inscricoes-para-o-primeiro-vestibular-de-2022/,,,,,,,,,,,,,
56,Pontifícia Universidade Católica de São Paulo,Privada,SP,2021-10-11,2021-11-29,,,2021-12-05,,,,2021-12-15,https://www.nucvest.com.br/,,,,,,,,,,,,,ExtratorNucvest
